Longitude;Latitude
-84.30423;34.041453
-84.754115;34.011739
-84.068896;34.00013
-84.039896;34.001841
-84.781358;34.025733
-83.988068;34.004936
-86.72281;33.530261
-86.645335;33.596713
-83.97807;33.628652
-83.872665;33.605196
-85.825676;33.633852
-86.271106;33.567351
-83.290392;30.869522
-84.362276;30.532643
-87.708395;30.539172
-87.26032;30.532991
-83.316798;30.846972
-87.147293;30.603807
-85.428086;31.245647
-84.566107;30.889005
-86.565501;30.736339
-84.328572;30.501433
-84.193591;30.536063
-86.946888;34.455272
-83.865511;34.360886
-86.935802;34.572401
-84.461675;34.465604
-83.825647;34.317036
-83.758863;34.597399
-85.718528;34.445309
-84.764707;33.719307
-84.00191;33.6841
-84.359721;33.762003
-84.923393;33.699879
-85.288337;33.744111
-86.817976;33.651934
-83.999262;33.65077
-85.823659;33.701002
-85.826852;33.652342
-84.270222;34.119513
-83.935703;34.09436
-84.462317;34.26104
-84.179347;34.169127
-84.23845;34.158242
-84.498392;34.127681
-83.461704;34.250693
-84.275796;34.08945
-84.580841;34.104682
-86.836123;34.161488
-84.176948;34.099379
-84.076591;34.257117
-86.841738;34.15281
-85.226517;34.271214
-84.506707;34.220848
-84.031876;33.825263
-84.379748;33.844454
-87.222962;30.487002
-84.166877;30.482085
-84.218322;30.427919
-87.290027;30.460794
-86.397855;30.469928
-87.190786;30.494101
-84.239565;30.472669
-84.559414;38.216728
-87.60909;30.264144
-85.753775;30.160179
-87.08742;30.38776
-85.771676;30.186099
-85.591227;30.162233
-85.919188;30.243659
-85.771496;30.186148
-85.649245;30.189583
-86.465052;30.385739
-85.815351;30.187663
-83.113391;29.624417
-84.515863;37.987282
-84.49728;37.971136
-84.523482;37.991126
-84.7164;38.051157
-84.57099;38.003385
-84.417874;38.023696
-84.018594;36.006732
-83.872063;36.03094
-84.017911;36.006951
-84.252589;36.005834
-83.920322;35.992529
-87.734642;36.090967
-84.242185;36.024429
-83.924545;36.047892
-86.55314;35.983773
-86.789004;36.032797
-83.996788;35.975925
-84.886959;36.009338
-83.971158;35.974905
-84.886109;36.01659
-83.929031;36.030081
-84.486551;33.883268
-83.93753;33.880665
-84.091782;33.869139
-84.830974;33.807939
-84.383368;33.787349
-84.389852;33.776888
-84.620079;33.796086
-84.338116;33.803521
-84.61948;33.787669
-84.223114;33.797475
-84.370918;33.774301
-84.274916;33.793761
-85.761318;33.810006
-84.042375;33.801917
-84.285659;33.791567
-86.351107;35.834315
-84.063555;35.863804
-84.546033;35.892453
-83.572626;35.880859
-84.490791;35.852055
-83.905507;35.934144
-85.026807;35.948901
-83.985355;35.940839
-86.903733;35.930301
-84.156103;35.883162
-84.091602;35.910828
-85.050928;35.960138
-83.773981;35.878537
-84.090519;35.941716
-84.136994;35.902428
-86.426903;35.84661
-86.736958;33.432584
-84.203891;33.411752
-84.591322;33.441396
-86.82496;33.450101
-86.680206;33.418581
-86.689812;33.414021
-86.697516;33.416304
-86.980057;33.450922
-86.962423;33.457613
-84.685059;33.408595
-86.79901;33.419206
-86.810738;33.471632
-84.44325;33.468252
-84.761344;33.89395
-84.754064;33.891081
-84.119449;33.903533
-84.825516;33.910892
-86.292265;36.198837
-86.639122;36.183527
-86.857361;36.13158
-86.514872;36.191675
-85.50082;36.150846
-85.507458;36.136955
-86.953339;34.796562
-83.955063;34.879325
-86.740912;34.750412
-84.373315;34.988416
-83.758903;34.952843
-85.362279;35.030721
-87.671284;34.812024
-83.95525;34.879315
-83.970809;35.764554
-83.991592;35.750609
-84.722024;35.118767
-84.453267;35.6006
-86.399402;35.794646
-84.844128;35.199604
-86.228738;35.380878
-87.057518;35.595408
-84.620516;35.450185
-83.391845;35.156026
-83.581295;35.803347
-84.161905;34.079839
-84.200285;34.076107
