platoon_id,number_of_events,vehicle_set,test_case_duration_time
1018821,3,890596,251.9313201904297
1018818,2,890596,251.9313201904297
1019204,2,890596,251.9313201904297
1019208,233,895542,464.58319759368896
1019712,106,895542,464.58319759368896
1019676,16,895542,464.58319759368896
1019923,5,895542,464.58319759368896
1019707,3,895542,464.58319759368896
1019673,2,895542,464.58319759368896
1020225,167,900594,410.3823301792145
1020120,50,900594,410.3823301792145
1020016,40,900594,410.3823301792145
1019939,39,900594,410.3823301792145
1020110,11,900594,410.3823301792145
1020095,6,900594,410.3823301792145
1020106,5,900594,410.3823301792145
1019932,4,900594,410.3823301792145
1020623,68,905959,142.06298184394836
1020584,20,905959,142.06298184394836
1020561,12,905959,142.06298184394836
1020558,2,905959,142.06298184394836
1020758,214,910718,331.38045859336853
1021194,27,910718,331.38045859336853
1021185,7,910718,331.38045859336853
1021579,267,915907,681.6138198375702
1021388,96,915907,681.6138198375702
1021248,66,915907,681.6138198375702
1022112,47,915907,681.6138198375702
1022205,39,915907,681.6138198375702
1021379,5,915907,681.6138198375702
1022299,76,921606,129.60845279693604
1022282,6,921606,129.60845279693604
1022450,3,921606,129.60845279693604
1022293,2,921606,129.60845279693604
1022296,2,921606,129.60845279693604
1022905,274,926510,875.3756499290466
1022464,159,926510,875.3756499290466
1023423,147,926510,875.3756499290466
1022832,37,926510,875.3756499290466
1022781,26,926510,875.3756499290466
1022455,5,926510,875.3756499290466
1024086,512,931804,1171.2856452465057
1023755,114,931804,1171.2856452465057
1024025,59,931804,1171.2856452465057
1023980,23,931804,1171.2856452465057
1025017,21,931804,1171.2856452465057
1023716,20,931804,1171.2856452465057
1024064,2,931804,1171.2856452465057
1025633,293,938319,779.7645061016083
1025093,263,938319,779.7645061016083
1025832,9,938319,779.7645061016083
1025618,8,938319,779.7645061016083
1025086,4,938319,779.7645061016083
1025081,3,938319,779.7645061016083
1026076,220,943814,696.3135404586792
1026605,71,943814,696.3135404586792
1026746,61,943814,696.3135404586792
1026867,47,943814,696.3135404586792
1026515,43,943814,696.3135404586792
1026981,26,943814,696.3135404586792
1026960,11,943814,696.3135404586792
1026600,6,943814,696.3135404586792
1027235,143,949197,728.0423119068146
1027536,131,949197,728.0423119068146
1027320,94,949197,728.0423119068146
1027035,58,949197,728.0423119068146
1027162,37,949197,728.0423119068146
1027117,23,949197,728.0423119068146
1027877,986,954980,3278.2229566574097
1029204,652,954980,3278.2229566574097
1028915,381,954980,3278.2229566574097
1030907,26,954980,3278.2229566574097
1030311,2,954980,3278.2229566574097
1031628,503,961743,1412.0242984294891
1031281,174,961743,1412.0242984294891
1032477,117,961743,1412.0242984294891
1031104,89,961743,1412.0242984294891
1031061,22,961743,1412.0242984294891
1032826,82,967381,302.1813163757324
1033012,44,967381,302.1813163757324
1032793,32,967381,302.1813163757324
1032788,8,967381,302.1813163757324
1033105,6,967381,302.1813163757324
1032989,5,967381,302.1813163757324
1033099,2,967381,302.1813163757324
1033102,2,967381,302.1813163757324
1033416,178,972563,864.6980519294739
1033774,148,972563,864.6980519294739
1033121,115,972563,864.6980519294739
1033116,34,972563,864.6980519294739
1033390,13,972563,864.6980519294739
1033367,11,972563,864.6980519294739
1033350,8,972563,864.6980519294739
1033355,5,972563,864.6980519294739
1033771,2,972563,864.6980519294739
1034322,64,977815,342.0538876056671
1034181,57,977815,342.0538876056671
1034122,26,977815,342.0538876056671
1034449,21,977815,342.0538876056671
1034294,20,977815,342.0538876056671
1034173,3,977815,342.0538876056671
1034119,2,977815,342.0538876056671
1034178,2,977815,342.0538876056671
1034642,146,982114,616.525333404541
1034494,104,982114,616.525333404541
1034933,77,982114,616.525333404541
1034633,5,982114,616.525333404541
1034984,3,982114,616.525333404541
1035014,2,982114,616.525333404541
1035017,2,982114,616.525333404541
1035093,180,987640,744.8085947036743
1035155,74,987640,744.8085947036743
1035302,59,987640,744.8085947036743
1035117,31,987640,744.8085947036743
1035469,18,987640,744.8085947036743
1035433,11,987640,744.8085947036743
1035069,8,987640,744.8085947036743
1035098,8,987640,744.8085947036743
1035148,7,987640,744.8085947036743
1035422,6,987640,744.8085947036743
1035084,5,987640,744.8085947036743
1035419,2,987640,744.8085947036743

